,scAGN_prediction,scAGN_precision_score,scAGN_recall_score,scAGN_f1_score,seurat_prediction,singleR_prediction,scmap-cluster_prediction,scmap-cell_prediction,chetah_prediction,Seurat_precision_score,Seurat_recall_score,Seurat_f1_score,SingleR_precision_score,SingleR_recall_score,SingleR_f1_score,Scmap-cluster_precision_score,Scmap-cluster_recall_score,Scmap-cluster_f1_score,Scmap-cell_precision_score,Scmap-cell_recall_score,Scmap-cell_f1_score,Chetah_precision_score,Chetah_recall_score,Chetah_f1_score
GSE81076_GSE85241,0.9691983122362868,0.9682296851039214,0.9691983122362868,0.9676707075999392,,,,,,,,,,,,,,,,,,,,
Xin,0.9595959595959596,0.9559740407588768,0.9595959595959596,0.95581663615009,,,,,,,,,,,,,,,,,,,,
TM,0.9758658403208166,0.9758091237631308,0.9758658403208166,0.975479357649513,0.963252,0.883485,0.673788,0.658549,0.858914,0.9636762072342165,0.9632519139628144,0.9623527575648438,0.9378117695849291,0.8834852351440029,0.8979756867019804,0.940058963989231,0.9074928802906805,0.911771560271797,0.9770362672796644,0.9773834000649281,0.976459746130646,0.9291268961810281,0.8589135982500912,0.8876808542938909
Tasic,0.9641148325358851,0.9666726960050028,0.9641148325358851,0.9641559733564824,0.947368,0.992823,0.868421,0.88756,0.913876,0.9268859969578839,0.9473684210526315,0.9344445575299992,0.9933014354066986,0.992822966507177,0.9929356004289099,0.9893916013271793,0.989100817438692,0.9891007910973753,0.9973551855705861,0.9973118279569892,0.9968747268117844,0.9869144319572717,0.9138755980861244,0.9462822806171645
Segerstolpe,0.9014891179839634,0.8962410646728471,0.9014891179839634,0.895762267711826,0.90378,0.668958,0.513173,0.42268,0.662085,0.898846287154123,0.9037800687285223,0.8965369809622736,0.8306763479915713,0.6689576174112256,0.6368800653556507,0.7489682998942754,0.8452830188679246,0.7910337990367314,0.7338956966947796,0.8482758620689655,0.7853697473354301,0.8494509427324775,0.6620847651775487,0.7221258518023101
Romanov,0.8958333333333334,0.8990358900968014,0.8958333333333334,0.8956049720448901,0.940278,0.891667,0.644444,0.801389,0.873611,0.9418439564343855,0.9402777777777778,0.9405758380010588,0.8961689375175125,0.8916666666666667,0.8874248639136701,0.9736201610415446,0.9727463312368972,0.9709125274589265,0.9641097463287782,0.9648829431438127,0.9626595949025802,0.9445001879236631,0.8736111111111111,0.9064939962116021
PBMC_68k,0.8825313502478856,0.8822557361299406,0.8825313502478856,0.8816028673043201,0.877457,0.769787,0.093905,0.327967,0.74809,0.8768973901520339,0.8774569845435987,0.8760929770031485,0.835656477892947,0.7697871099445902,0.7721727364310592,0.8880495992490035,0.8641975308641975,0.8477455435408944,0.8865467046106233,0.8576876143990237,0.8200874548467186,0.8298381392792618,0.7480898221055702,0.7825868928902803
Mouse_retina,0.9749854566608492,0.9746000435244564,0.9749854566608492,0.9744394819917842,0.972368,0.95128,0.054538,0.346422,0.816027,0.971695045896004,0.972367655613729,0.9688150928525071,0.9504943307385342,0.9512798138452588,0.941829819833318,1.0,1.0,1.0,0.9927744266638998,0.9929137140475198,0.9925729219626827,0.9624315668400756,0.8160267597440373,0.8746516207360845
Klein,0.9691176470588236,0.9694775992528292,0.9691176470588236,0.9687850390592764,0.986765,0.9,0.694118,0.811765,0.945588,0.9872978191526757,0.986764705882353,0.9865726146517385,0.9418080894341171,0.9,0.9032133249683258,0.9874602065377747,0.989517819706499,0.9884793981073297,0.9432270110140515,0.9261744966442953,0.9236585917657204,0.9833039456568868,0.9455882352941176,0.9640606052800696
villani_mgh_covid19,0.7467571745412999,0.7554625243795822,0.7467571745412999,0.7343597070062337,0.752739,0.606089,0.4628,0.222999,0.446468,0.7647805166330162,0.7527387593252235,0.7477495951696284,0.7474354667837029,0.6060891188923987,0.6348527660381479,0.7587151817739136,0.6943632146818595,0.6931767495567143,0.8080076106137275,0.7873754152823921,0.7662767782195583,0.7208021634658237,0.44646817662477317,0.5306401662039661
